,,,,,,,,,,,
,,New Acq,Expansion,Renewals,Total,,,,,,
,Q1,#REF!,"$3,000","$2,000",#REF!,,,,,,
,Q2,#REF!,"$3,000","$4,000",#REF!,,,,,,
,Q3,#REF!,"$5,000","$8,000",#REF!,,,,,,
,Q4,#REF!,"$5,000","$11,000",#REF!,,,,,,
,subtotal,#REF!,"$16,000","$25,000",#REF!,,,,,,
,,,,,,,,,,,
,Self-Serve,,,,"$10,000",,,,,,
,,,,,,,,,,,
,Fiscal '26 Total,,,,#REF!,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Assumptions,This Year Data
,,,,,,,,,,Based on a productivity ramp starting at 100k / month for the first three months then bumps up to $150k / month thereafter,In 2025 reps ramp to over $300k / month by their third month and get over $400k / month by their 6th month although it's a small sample six of only 9 reps over six months
,,,,,,,,,,Renewal Rate at 83% and $30M by the end of '25,"Accelerating towards $30M by the end of this year, will likely beat. Renewal rate also conservative"
,,,,,,,,,,Hire one new quota carry rep every 14 days,We think is very doable
,,,,,,,,,,Self-Serve hits $10M next year,Will end this year at $4M; 10M is probably conservative but hard to say where the market will go there
